epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2800.82,1.41897,1.24101,1.76508,0.82369,0.57319,0.69899,0.39472,1.34442,0.70328,1.9082,0.00138101,0.00138101,0.00138101
43,2868.21,1.42646,1.25739,1.76767,0.86238,0.59355,0.7249,0.41115,1.34609,0.66879,1.89704,0.00136781,0.00136781,0.00136781
44,2934.86,1.38552,1.19698,1.73894,0.80829,0.58847,0.68855,0.39271,1.34675,0.70064,1.89344,0.00135438,0.00135438,0.00135438
45,3001.58,1.421,1.20458,1.77152,0.82866,0.59941,0.71698,0.40019,1.36192,0.68871,1.90956,0.00134073,0.00134073,0.00134073
46,3069.11,1.44339,1.22983,1.77479,0.84249,0.6093,0.72294,0.41569,1.30372,0.63791,1.87316,0.00132685,0.00132685,0.00132685
47,3135.96,1.41185,1.22058,1.74167,0.86633,0.58043,0.72389,0.41396,1.34345,0.68966,1.92097,0.00131277,0.00131277,0.00131277
48,3202.79,1.39579,1.17161,1.74645,0.8112,0.59406,0.70101,0.41279,1.29416,0.67695,1.84211,0.00129847,0.00129847,0.00129847
49,3274.7,1.42585,1.24367,1.7586,0.82216,0.60587,0.71193,0.41011,1.34101,0.67812,1.90558,0.00128398,0.00128398,0.00128398
50,3353.03,1.39812,1.17902,1.72927,0.8384,0.61388,0.72166,0.42212,1.27954,0.62566,1.83747,0.00126929,0.00126929,0.00126929
51,3426.35,1.40241,1.18928,1.75623,0.85616,0.59928,0.73627,0.40604,1.3887,0.63868,1.95899,0.00125442,0.00125442,0.00125442
52,3500.9,1.38347,1.15897,1.74495,0.83906,0.62155,0.73763,0.41909,1.28482,0.61699,1.84679,0.00123936,0.00123936,0.00123936
53,3577.32,1.39682,1.17425,1.74104,0.83743,0.60414,0.73108,0.42857,1.30465,0.64647,1.85926,0.00122413,0.00122413,0.00122413
54,3652.78,1.38228,1.17531,1.72997,0.83973,0.60676,0.72718,0.41652,1.31786,0.64116,1.85996,0.00120873,0.00120873,0.00120873
55,3728.13,1.37728,1.1532,1.70799,0.83671,0.59795,0.72617,0.40829,1.34025,0.62248,1.88019,0.00119317,0.00119317,0.00119317
56,3801.77,1.37809,1.12039,1.72845,0.84253,0.6161,0.73861,0.43413,1.28158,0.6043,1.85959,0.00117746,0.00117746,0.00117746
57,3875.45,1.36862,1.12791,1.73452,0.83431,0.61307,0.71933,0.41807,1.29357,0.64404,1.86282,0.0011616,0.0011616,0.0011616
58,3952.04,1.39335,1.18983,1.72207,0.80361,0.61573,0.71802,0.41055,1.30963,0.63934,1.86073,0.0011456,0.0011456,0.0011456
59,4032.27,1.37472,1.13539,1.72802,0.78187,0.62406,0.71131,0.40642,1.38823,0.71833,1.9339,0.00112946,0.00112946,0.00112946
60,4108.27,1.38318,1.11927,1.70967,0.85092,0.61819,0.74246,0.43115,1.3042,0.61328,1.85014,0.0011132,0.0011132,0.0011132
61,4184.33,1.37389,1.14361,1.72425,0.83655,0.61641,0.74159,0.42934,1.30973,0.59293,1.88886,0.00109683,0.00109683,0.00109683
62,4258.25,1.3647,1.1142,1.71789,0.84932,0.60601,0.73226,0.42547,1.30826,0.62361,1.8538,0.00108033,0.00108033,0.00108033
63,4331.83,1.37722,1.12318,1.71952,0.86736,0.62834,0.75042,0.42239,1.38913,0.60888,1.92636,0.00106374,0.00106374,0.00106374
64,4400.18,1.37255,1.09183,1.73518,0.87422,0.62772,0.74824,0.43693,1.32185,0.59999,1.87596,0.00104705,0.00104705,0.00104705
65,4466.72,1.37208,1.12241,1.70042,0.84135,0.61518,0.74456,0.4298,1.3112,0.59893,1.85925,0.00103026,0.00103026,0.00103026
66,4533.6,1.34725,1.08107,1.70281,0.80713,0.65482,0.75167,0.43629,1.31303,0.62009,1.86419,0.0010134,0.0010134,0.0010134
67,4599.69,1.36953,1.08641,1.70916,0.80649,0.63714,0.75187,0.4259,1.32092,0.60809,1.87179,0.000996456,0.000996456,0.000996456
68,4665.89,1.34442,1.05649,1.70132,0.83465,0.64028,0.75085,0.42711,1.34077,0.62436,1.87883,0.000979447,0.000979447,0.000979447
69,4732.69,1.35612,1.0618,1.70835,0.85266,0.62791,0.75595,0.43597,1.31514,0.59263,1.85481,0.000962378,0.000962378,0.000962378
70,4800.21,1.354,1.04854,1.69204,0.8291,0.63012,0.73969,0.41691,1.29525,0.59883,1.8525,0.000945256,0.000945256,0.000945256
71,4866.68,1.36357,1.07403,1.71192,0.82735,0.63511,0.73748,0.41784,1.27622,0.61915,1.83423,0.000928088,0.000928088,0.000928088
72,4932.65,1.35684,1.0884,1.70685,0.81921,0.63454,0.73744,0.42694,1.29117,0.60582,1.83847,0.000910883,0.000910883,0.000910883
73,4999.86,1.31238,1.01462,1.69203,0.79904,0.65094,0.74928,0.43817,1.28922,0.59205,1.84463,0.000893648,0.000893648,0.000893648
74,5066.58,1.35622,1.09914,1.68685,0.8526,0.63552,0.7554,0.44412,1.29953,0.56525,1.84498,0.000876389,0.000876389,0.000876389
75,5133.19,1.32203,1.07004,1.68649,0.86141,0.61985,0.75667,0.43077,1.31503,0.60306,1.86098,0.000859116,0.000859116,0.000859116
76,5199.72,1.33036,1.05365,1.68977,0.88346,0.63662,0.76688,0.45005,1.2636,0.57105,1.81071,0.000841835,0.000841835,0.000841835
77,5266.96,1.32451,1.04162,1.67025,0.87794,0.63301,0.75716,0.44532,1.27604,0.58855,1.82767,0.000824554,0.000824554,0.000824554
78,5333.41,1.30222,1.02942,1.68573,0.84747,0.63201,0.74734,0.44779,1.25635,0.60118,1.81333,0.000807281,0.000807281,0.000807281
79,5399.49,1.31744,1.01832,1.68834,0.85699,0.62185,0.75136,0.43648,1.32095,0.59173,1.873,0.000790022,0.000790022,0.000790022
80,5467.19,1.32543,1.01279,1.67908,0.8547,0.62152,0.74653,0.4262,1.32307,0.6111,1.87035,0.000772787,0.000772787,0.000772787
81,5534.79,1.31961,1.0162,1.70026,0.81277,0.65619,0.75859,0.4381,1.28523,0.60473,1.85345,0.000755582,0.000755582,0.000755582
82,5601.57,1.29291,1.00796,1.65374,0.87665,0.64831,0.7709,0.43879,1.32365,0.56649,1.88242,0.000738414,0.000738414,0.000738414
83,5668.13,1.32368,1.01061,1.67336,0.87788,0.60435,0.73967,0.43973,1.27894,0.58663,1.82975,0.000721292,0.000721292,0.000721292
84,5737.05,1.30635,1.02939,1.66607,0.82857,0.64486,0.75659,0.44248,1.28523,0.59865,1.84301,0.000704223,0.000704223,0.000704223
85,5803.6,1.33105,1.02708,1.68488,0.87132,0.62726,0.75574,0.44071,1.28154,0.57823,1.85251,0.000687214,0.000687214,0.000687214
86,5870.15,1.3025,0.99511,1.67013,0.85759,0.64887,0.7614,0.44599,1.28309,0.58065,1.81653,0.000670274,0.000670274,0.000670274
87,5937.8,1.31474,1.01815,1.67509,0.85497,0.6418,0.76924,0.44364,1.28063,0.55464,1.829,0.000653408,0.000653408,0.000653408
88,6005.16,1.30308,1.00185,1.64252,0.82753,0.65847,0.76771,0.44328,1.32341,0.56395,1.8692,0.000636625,0.000636625,0.000636625
89,6072.17,1.3149,1.02231,1.65107,0.83901,0.66238,0.76971,0.44895,1.27705,0.55369,1.82482,0.000619932,0.000619932,0.000619932
90,6138.79,1.31013,0.97231,1.64387,0.86694,0.65846,0.76739,0.44209,1.29624,0.56063,1.84308,0.000603336,0.000603336,0.000603336
91,6206.33,1.30527,1.03273,1.65574,0.82712,0.6488,0.7603,0.44697,1.26443,0.55532,1.81108,0.000586845,0.000586845,0.000586845
92,6273.38,1.29404,0.9954,1.66838,0.83937,0.64427,0.76152,0.44116,1.28846,0.56565,1.83844,0.000570466,0.000570466,0.000570466
93,6340.13,1.27368,0.9229,1.65224,0.84431,0.6403,0.76255,0.45243,1.26355,0.55761,1.80696,0.000554206,0.000554206,0.000554206
94,6407.05,1.29843,0.99238,1.64582,0.85885,0.64458,0.76663,0.44985,1.26621,0.55966,1.82523,0.000538072,0.000538072,0.000538072
95,6475.31,1.28232,0.97231,1.64106,0.86015,0.65195,0.75705,0.44434,1.27582,0.56306,1.81763,0.000522071,0.000522071,0.000522071
96,6542.32,1.29675,0.99852,1.63562,0.86954,0.63547,0.76352,0.4503,1.26359,0.56081,1.80587,0.00050621,0.00050621,0.00050621
97,6608.9,1.26452,0.9587,1.6392,0.89155,0.62722,0.76312,0.45421,1.25689,0.56364,1.79267,0.000490497,0.000490497,0.000490497
98,6676.91,1.2815,0.95016,1.65133,0.86878,0.64512,0.76139,0.45513,1.24497,0.5545,1.78942,0.000474938,0.000474938,0.000474938
99,6744.07,1.27675,0.92338,1.65325,0.88174,0.62044,0.75992,0.45363,1.26817,0.56677,1.80063,0.000459539,0.000459539,0.000459539
100,6810.83,1.26666,0.94917,1.63743,0.8373,0.67091,0.76775,0.45588,1.26351,0.54844,1.80636,0.000444309,0.000444309,0.000444309
101,6877.97,1.29235,0.9291,1.64946,0.86396,0.64517,0.75622,0.45031,1.26554,0.56636,1.80645,0.000429252,0.000429252,0.000429252
102,6945.35,1.27078,0.97337,1.63659,0.8358,0.66655,0.76921,0.45442,1.26983,0.55994,1.80779,0.000414377,0.000414377,0.000414377
103,7012.25,1.27994,0.96447,1.63585,0.8321,0.64982,0.76,0.45422,1.25201,0.55279,1.78797,0.000399689,0.000399689,0.000399689
104,7082.77,1.26438,0.9144,1.63562,0.85157,0.65226,0.75867,0.44761,1.26002,0.57276,1.79249,0.000385196,0.000385196,0.000385196
105,7156.85,1.26409,0.92336,1.61498,0.90941,0.60531,0.76388,0.45209,1.24284,0.54586,1.7856,0.000370902,0.000370902,0.000370902
106,7230.64,1.24609,0.90313,1.61504,0.83245,0.64666,0.75842,0.45376,1.24928,0.56406,1.781,0.000356815,0.000356815,0.000356815
107,7306.07,1.24578,0.92395,1.61653,0.86929,0.63934,0.76523,0.44902,1.26824,0.57909,1.81918,0.000342941,0.000342941,0.000342941
108,7373.59,1.25001,0.91518,1.62595,0.85386,0.64728,0.76784,0.44813,1.26686,0.54927,1.79777,0.000329286,0.000329286,0.000329286
109,7440.76,1.25577,0.92441,1.61503,0.82568,0.66264,0.76614,0.4495,1.25085,0.56118,1.7944,0.000315855,0.000315855,0.000315855
110,7507.62,1.26069,0.93985,1.62195,0.84754,0.64876,0.76525,0.45134,1.25558,0.55812,1.80052,0.000302655,0.000302655,0.000302655
111,7574.2,1.25845,0.89431,1.62609,0.87381,0.6468,0.76478,0.45168,1.26186,0.54647,1.79749,0.000289692,0.000289692,0.000289692
112,7641.59,1.25254,0.89177,1.61095,0.87513,0.62875,0.76099,0.45245,1.26044,0.54817,1.79557,0.000276971,0.000276971,0.000276971
113,7708.15,1.23299,0.89106,1.59811,0.8804,0.63737,0.7679,0.45199,1.25911,0.55221,1.80363,0.000264497,0.000264497,0.000264497
114,7775.01,1.25093,0.91175,1.60785,0.88392,0.63384,0.76157,0.45281,1.25517,0.55989,1.78977,0.000252277,0.000252277,0.000252277
115,7841.73,1.26942,0.92588,1.61634,0.86015,0.63958,0.76467,0.45323,1.26957,0.5649,1.798,0.000240316,0.000240316,0.000240316
116,7909.41,1.26595,0.90378,1.62724,0.85751,0.65448,0.76691,0.45485,1.25662,0.55197,1.79383,0.000228618,0.000228618,0.000228618
117,7980.62,1.22193,0.88158,1.59413,0.87635,0.64066,0.76496,0.45347,1.25831,0.56741,1.80147,0.000217189,0.000217189,0.000217189
118,8055.32,1.22626,0.9218,1.60686,0.8583,0.65296,0.76709,0.45576,1.26087,0.55178,1.80457,0.000206034,0.000206034,0.000206034
119,8122.52,1.25803,0.92324,1.61139,0.84837,0.65482,0.76977,0.45348,1.25294,0.55593,1.79179,0.000195159,0.000195159,0.000195159
120,8189.51,1.22669,0.89058,1.60199,0.85732,0.64507,0.76627,0.45799,1.24836,0.5603,1.78898,0.000184566,0.000184566,0.000184566
121,8256.64,1.24378,0.89845,1.60732,0.8632,0.64493,0.76703,0.45425,1.24344,0.55152,1.78421,0.000174262,0.000174262,0.000174262
122,8323.73,1.23154,0.92409,1.59403,0.87237,0.63719,0.77257,0.45566,1.26319,0.56589,1.80561,0.000164251,0.000164251,0.000164251
123,8390.85,1.20158,0.866,1.60601,0.87224,0.64054,0.77344,0.45794,1.25395,0.5633,1.79302,0.000154538,0.000154538,0.000154538
124,8457.74,1.21022,0.85908,1.60645,0.90098,0.62153,0.77123,0.4561,1.26322,0.54614,1.80075,0.000145125,0.000145125,0.000145125
125,8523.99,1.22533,0.87569,1.59949,0.87022,0.64161,0.77334,0.4582,1.25582,0.55098,1.79221,0.000136018,0.000136018,0.000136018
126,8591.28,1.21243,0.8553,1.60018,0.83375,0.66508,0.77134,0.45799,1.24681,0.54258,1.78769,0.000127221,0.000127221,0.000127221
127,8659.09,1.22351,0.88907,1.60155,0.84894,0.65163,0.77385,0.45733,1.249,0.55192,1.79482,0.000118737,0.000118737,0.000118737
128,8725.84,1.18769,0.86593,1.56974,0.88063,0.64684,0.77383,0.45891,1.24921,0.55122,1.79465,0.000110571,0.000110571,0.000110571
129,8792.23,1.2136,0.86147,1.59584,0.85839,0.65373,0.76891,0.4547,1.25084,0.55411,1.79173,0.000102725,0.000102725,0.000102725
130,8859.12,1.20313,0.86671,1.59857,0.89306,0.62841,0.76889,0.45303,1.25807,0.5625,1.795,9.52034e-05,9.52034e-05,9.52034e-05
131,8930.74,1.20387,0.84994,1.57961,0.88667,0.63747,0.77369,0.45468,1.25609,0.55557,1.79626,8.80093e-05,8.80093e-05,8.80093e-05
132,9005.21,1.18772,0.82055,1.597,0.89318,0.62702,0.76835,0.45179,1.2528,0.55476,1.79209,8.11458e-05,8.11458e-05,8.11458e-05
133,9075.5,1.21658,0.87637,1.59771,0.90556,0.61904,0.76605,0.45424,1.25107,0.56361,1.79371,7.4616e-05,7.4616e-05,7.4616e-05
134,9145.58,1.20303,0.85477,1.59543,0.88906,0.62791,0.7681,0.45483,1.25538,0.55727,1.7971,6.84227e-05,6.84227e-05,6.84227e-05
135,9216.1,1.20542,0.85335,1.59931,0.86225,0.64414,0.76817,0.45377,1.25751,0.55316,1.79627,6.25687e-05,6.25687e-05,6.25687e-05
