epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1741.85,1.1516,0.66566,1.72254,0.92528,0.72241,0.84762,0.46984,1.38239,0.62968,1.93738,0.000700378,0.000700378,0.000700378
43,1781.16,1.12795,0.62495,1.70095,0.92278,0.75116,0.85145,0.48119,1.35868,0.64819,1.91299,0.000676802,0.000676802,0.000676802
44,1820.18,1.11429,0.60448,1.69667,0.91438,0.76171,0.86077,0.47473,1.38885,0.63034,1.9488,0.000653226,0.000653226,0.000653226
45,1859.61,1.1346,0.62959,1.6967,0.90503,0.75906,0.85417,0.47929,1.36364,0.62704,1.92551,0.00062965,0.00062965,0.00062965
46,1898.51,1.12493,0.63031,1.69791,0.8671,0.78476,0.85162,0.47049,1.37395,0.63823,1.92803,0.000606074,0.000606074,0.000606074
47,1938.23,1.10542,0.61265,1.66574,0.924,0.7657,0.8574,0.47734,1.3593,0.61086,1.91821,0.000582497,0.000582497,0.000582497
48,1977.67,1.11069,0.60735,1.68868,0.86035,0.76255,0.84531,0.47441,1.42607,0.65203,1.99158,0.000558921,0.000558921,0.000558921
49,2017.24,1.1068,0.6135,1.67732,0.92194,0.72798,0.85214,0.48179,1.36038,0.60428,1.90772,0.000535345,0.000535345,0.000535345
50,2056.59,1.12782,0.60736,1.68523,0.94841,0.70102,0.83226,0.4544,1.40183,0.63989,1.95394,0.000511769,0.000511769,0.000511769
51,2095.47,1.10455,0.59456,1.65198,0.88101,0.77359,0.86192,0.46305,1.41685,0.61874,1.96814,0.000488193,0.000488193,0.000488193
52,2134.49,1.09618,0.58851,1.64916,0.89845,0.75993,0.86166,0.4757,1.3837,0.60353,1.93312,0.000464617,0.000464617,0.000464617
53,2173.51,1.10488,0.58912,1.67823,0.91289,0.76433,0.86392,0.49116,1.35036,0.60249,1.88934,0.000441041,0.000441041,0.000441041
54,2212.99,1.08157,0.57115,1.66087,0.92628,0.74005,0.85647,0.48142,1.36527,0.61825,1.90565,0.000417464,0.000417464,0.000417464
55,2252.54,1.10925,0.58308,1.6677,0.92609,0.77062,0.85817,0.48727,1.35837,0.61283,1.90151,0.000393888,0.000393888,0.000393888
56,2292.5,1.099,0.57377,1.65167,0.91062,0.76149,0.85104,0.47731,1.38472,0.61155,1.93048,0.000370312,0.000370312,0.000370312
57,2332.07,1.08549,0.56754,1.6427,0.90992,0.78138,0.86718,0.48354,1.32256,0.58482,1.88172,0.000346736,0.000346736,0.000346736
58,2370.7,1.06428,0.56927,1.63211,0.8989,0.78697,0.86655,0.47873,1.34027,0.5921,1.88672,0.00032316,0.00032316,0.00032316
59,2410.2,1.09269,0.5618,1.63767,0.91153,0.79047,0.87145,0.50185,1.33608,0.59803,1.87681,0.000299584,0.000299584,0.000299584
60,2450.19,1.05918,0.5415,1.62138,0.92108,0.75572,0.85975,0.50251,1.30836,0.57085,1.85279,0.000276008,0.000276008,0.000276008
61,2489.43,1.07432,0.55188,1.63747,0.91561,0.76787,0.87276,0.50247,1.3125,0.57262,1.85924,0.000252431,0.000252431,0.000252431
62,2529.17,1.06508,0.54282,1.63572,0.90039,0.7972,0.88128,0.5078,1.3236,0.58015,1.86275,0.000228855,0.000228855,0.000228855
63,2568.44,1.0593,0.54426,1.60919,0.9088,0.78301,0.876,0.50436,1.33353,0.58602,1.87533,0.000205279,0.000205279,0.000205279
64,2607.59,1.05229,0.53558,1.61672,0.92429,0.77087,0.87487,0.50681,1.31788,0.56994,1.85168,0.000181703,0.000181703,0.000181703
65,2647.13,1.04981,0.52863,1.61078,0.89942,0.79203,0.88062,0.51071,1.32628,0.57399,1.8608,0.000158127,0.000158127,0.000158127
66,2686.38,1.05386,0.5178,1.61919,0.9129,0.79468,0.88304,0.51598,1.30144,0.55298,1.84332,0.000134551,0.000134551,0.000134551
67,2725.54,1.0385,0.51639,1.60631,0.92477,0.78986,0.88715,0.51584,1.30146,0.54873,1.83788,0.000110975,0.000110975,0.000110975
68,2765,1.02788,0.50977,1.61308,0.92094,0.79243,0.87887,0.51293,1.30357,0.5515,1.83628,8.73984e-05,8.73984e-05,8.73984e-05
69,2804.96,1.03866,0.52157,1.59187,0.93826,0.77825,0.88378,0.51385,1.3044,0.54436,1.83579,6.38223e-05,6.38223e-05,6.38223e-05
70,2845.26,1.01582,0.50604,1.59147,0.93962,0.77734,0.88037,0.51072,1.30646,0.55142,1.83505,4.02461e-05,4.02461e-05,4.02461e-05
